policy,difficulty,driver_profile,rep,seed,steps,episode_time,final_x,final_y,min_h,mean_lambda,min_lambda,mean_takeover,rms_conflict,rms_rwa,first_driver_reaction_time,first_motor_release_time,peak_driver_rwa,peak_driver_sfa_cmd,collision,success,return
sac,easy,late_linear,0,42,65.0,3.1999999999999966,57.85469000611536,-0.7813644519739572,0.4988951519540288,0.5523076923076924,0.16,0.4476923076923077,0.14625669314509307,0.10259339361503052,1.5000000000000007,1.4000000000000006,0.27500728112600464,4.7000094260156775,0.0,1.0,24.40911377952333
sac,easy,late_aggressive,0,52,68.0,3.349999999999996,50.19110137983152,1.2785681283477444,0.7649367949252968,0.5279411764705884,0.22,0.4720588235294117,0.2395222967551931,0.09096996092358557,1.4500000000000006,1.4000000000000006,0.35,6.165216800675008,0.0,1.0,-2.306161062292503
sac,easy,frozen,0,62,59.0,2.8999999999999977,53.42435035341393,-0.8005152512144821,0.12735732195436378,0.524406779661017,0.14,0.475593220338983,0.11111281266522159,0.10484707223220734,1.800000000000001,1.800000000000001,0.11270353435211994,1.905044459735707,0.0,1.0,23.557048547312455
sac,easy,wrong_initial,0,72,36.0,1.7500000000000009,51.69995564064508,0.87586166188322,0.17125505785936657,0.3566666666666667,0.14,0.6433333333333333,0.29820045993613353,0.16229041546114134,0.25,0.2,0.35,5.732019492128164,0.0,1.0,14.20621677858108
sac,medium,late_linear,0,142,12.0,0.5499999999999999,41.9321712855347,-0.5203535785176161,-0.21294007985632768,0.49666666666666665,0.16,0.5033333333333333,0.233729669788217,0.18618943820144962,0.2,0.15000000000000002,0.08155335141840898,1.3982671679139491,1.0,0.0,-204.92922617804882
sac,medium,late_aggressive,0,152,12.0,0.5499999999999999,38.0903273450402,1.1054655329055358,-0.12766437702395783,0.5083333333333333,0.2,0.49166666666666664,0.15918378658587404,0.2012487350803906,0.35,0.3,0.1228350695934316,2.949004552919087,1.0,0.0,-206.20975637298736
sac,medium,frozen,0,162,14.0,0.65,40.64714070444318,0.8227912211261978,-0.13303853752555084,0.5014285714285716,0.28,0.4985714285714285,0.18418231171898478,0.19186026212001234,0.49999999999999994,0.44999999999999996,0.018584573989030247,0.37110774480716435,1.0,0.0,-204.93272183176651
sac,medium,wrong_initial,0,172,48.0,2.3499999999999996,47.42768992302825,-1.8469764775232018,0.01586837470081459,0.49124999999999996,0.16,0.50875,0.22899370192838978,0.1111331105243351,0.9000000000000002,0.8500000000000002,0.35,6.316615940973242,0.0,1.0,13.419626606607636
sac,hard,late_linear,0,242,36.0,1.7500000000000009,42.14134108359513,2.4224126638947796,0.030573600571725645,0.47166666666666657,0.2,0.5283333333333333,0.18025447741268108,0.11064887237896374,0.25,0.2,0.2466543389497675,4.590497942384676,0.0,1.0,1.2641583088931014
sac,hard,late_aggressive,0,252,43.0,2.1000000000000005,46.1492424110854,3.632571649442717,0.0071264931242267515,0.4883720930232559,0.18,0.5116279069767442,0.19243818495667267,0.11601746146284588,1.4000000000000006,1.3000000000000005,0.2500039009413257,6.137680239449631,0.0,1.0,-13.580668299265326
sac,hard,frozen,0,262,42.0,2.0500000000000007,48.944424147025956,2.9751127741467096,0.002755595269767541,0.49190476190476184,0.16,0.508095238095238,0.11850040945407003,0.12078869239045799,1.7000000000000008,1.6500000000000008,0.02089099304494419,0.5139778861811425,0.0,1.0,-9.948266163032194
sac,hard,wrong_initial,0,272,38.0,1.850000000000001,47.733433321596934,-3.421812597935442,0.003641927115932475,0.4894736842105263,0.16,0.5105263157894737,0.1806783283196556,0.1212775646173617,1.1500000000000004,1.1000000000000003,0.21488744072216828,5.611840761082263,0.0,1.0,1.4723394790648285
