difficulty,driver_profile,delta_success,delta_collision,delta_min_h,delta_takeover
easy,frozen,0.0,0.0,0.055478640823756795,0.04033898305084749
easy,late_aggressive,0.0,0.0,-0.4926932938814886,0.1705882352941176
easy,late_linear,0.0,0.0,-0.17992804080160846,0.0896682692307692
easy,wrong_initial,-1.0,1.0,-0.2573569812285136,-0.4552631578947368
hard,frozen,-1.0,1.0,-0.0036212608283311,-0.1838095238095237
hard,late_aggressive,0.0,0.0,-0.0044175943267957,-0.08930232558139545
hard,late_linear,-1.0,1.0,-0.0748672724006791,-0.26722222222222225
hard,wrong_initial,-1.0,1.0,-0.0068501518022906,-0.22210526315789492
medium,frozen,0.0,0.0,-0.18781240732461307,-0.3728571428571429
medium,late_aggressive,0.0,0.0,-0.19543417835035387,-0.3633333333333335
medium,late_linear,0.0,0.0,-0.06414532327702671,-0.3600000000000001
medium,wrong_initial,0.0,0.0,0.018087162274713804,-0.11208333333333337
