policy,difficulty,driver_profile,rep,seed,steps,episode_time,final_x,final_y,min_h,mean_lambda,min_lambda,mean_takeover,rms_conflict,rms_rwa,first_driver_reaction_time,first_motor_release_time,peak_driver_rwa,peak_driver_swa_cmd,collision,success,return
sac,easy,late_linear,0,42,64.0,3.149999999999997,56.975080651402784,-1.1786799445002178,0.5942320114218294,0.5678125,0.22,0.43218749999999995,0.1476548601993616,0.08501687875484965,1.5000000000000007,1.4000000000000006,0.2648976491759876,4.672253761117776,0.0,1.0,22.142011684429008
sac,easy,late_aggressive,0,52,68.0,3.349999999999996,50.25072776876339,2.9385770772507924,0.9727334142440118,0.5644117647058825,0.32,0.43558823529411766,0.22846797866753923,0.058058716873767756,1.4500000000000006,1.4000000000000006,0.35,6.165216800675008,0.0,1.0,-33.18166369140407
sac,easy,frozen,0,62,59.0,2.8999999999999977,53.45036182615135,-0.9594171992001956,0.13994783241595488,0.5552542372881356,0.22,0.4447457627118644,0.10288063450483377,0.09599326174055922,1.800000000000001,1.800000000000001,0.11258125452204965,1.9030811159711716,0.0,1.0,23.21751275440061
sac,easy,wrong_initial,0,72,36.0,1.7500000000000009,51.72508026601137,1.2548419075953383,0.08349945088662314,0.4038888888888889,0.16,0.5961111111111113,0.3043870494858582,0.1420201656239853,0.25,0.2,0.35,5.732019492128164,0.0,1.0,10.356381778662865
sac,medium,late_linear,0,142,12.0,0.5499999999999999,41.94061869397327,-0.44919316063709036,-0.23074323083177128,0.5483333333333333,0.22,0.45166666666666666,0.2057838457332837,0.15855418376935082,0.2,0.15000000000000002,0.08155335141840898,1.3982671679139491,1.0,0.0,-204.44504834022175
sac,medium,late_aggressive,0,152,12.0,0.5499999999999999,38.09492590230265,1.0768847292995105,-0.14384452186745456,0.5683333333333334,0.32,0.43166666666666664,0.1375790844685865,0.17944521502088157,0.35,0.3,0.1228350695934316,2.949004552919087,1.0,0.0,-205.70067418682015
sac,medium,frozen,0,162,14.0,0.65,40.67288118172387,0.6212493231602236,-0.23233028308544323,0.5814285714285715,0.34,0.4185714285714286,0.15410324281676283,0.162158535861881,0.49999999999999994,0.44999999999999996,0.018584573989030247,0.37110774480716435,1.0,0.0,-204.47591948812294
sac,medium,wrong_initial,0,172,48.0,2.3499999999999996,47.4346832667898,-2.1286310472254217,0.035586930572460984,0.5329166666666667,0.22,0.46708333333333335,0.23078300973888694,0.09196702380599348,0.9000000000000002,0.8500000000000002,0.35,6.316615940973242,0.0,1.0,11.064508495094316
sac,hard,late_linear,0,242,36.0,1.7500000000000009,42.13549101245788,2.6346700122683995,0.02060879066469834,0.5405555555555557,0.24,0.45944444444444443,0.17376589404552073,0.10107150761310289,0.25,0.2,0.24708159434401133,4.59834536816976,0.0,1.0,0.3256214742339054
sac,hard,late_aggressive,0,252,43.0,2.1000000000000005,46.07763999603319,4.149773790676014,0.002514096175228575,0.5586046511627908,0.28,0.4413953488372092,0.16321310112693657,0.08952298752706524,1.4000000000000006,1.3000000000000005,0.24981365445125545,6.137680239449631,0.0,1.0,-20.70154910234657
sac,hard,frozen,0,262,42.0,2.0500000000000007,48.93520415006568,2.8131976391660674,0.0010390096518280156,0.5538095238095239,0.22,0.44619047619047625,0.11298567541430046,0.1173856723700434,1.7000000000000008,1.6500000000000008,0.018223723425234314,0.40343985618665057,0.0,1.0,-6.800030895612167
sac,hard,wrong_initial,0,272,38.0,1.850000000000001,47.724947565048296,-3.4828505677301616,0.0014165809437025612,0.5463157894736841,0.2,0.45368421052631586,0.17576599487552322,0.11481812601081302,1.1500000000000004,1.1000000000000003,0.21495424002609592,5.611840761082263,0.0,1.0,1.6600131701371694
