difficulty,driver_profile,success_mean_v11,collision_mean_v11,min_h_mean_v11,mean_takeover_mean_v11,return_mean_v11,success_mean_base,collision_mean_base,min_h_mean_base,mean_takeover_mean_base,return_mean_base,delta_success_mean,delta_collision_mean,delta_min_h_mean,delta_mean_takeover_mean,delta_return_mean
easy,frozen,1.0,0.0,0.1399478324159548,0.4447457627118644,23.21751275440061,1.0,0.0,0.1273573219543637,0.475593220338983,23.55704854731245,0.0,0.0,0.012590510461591098,-0.030847457627118602,-0.33953579291184255
easy,late_aggressive,1.0,0.0,0.9727334142440118,0.4355882352941176,-33.18166369140407,1.0,0.0,0.7649367949252968,0.4720588235294117,-2.306161062292503,0.0,0.0,0.20779661931871507,-0.03647058823529409,-30.875502629111566
easy,late_linear,1.0,0.0,0.5942320114218294,0.4321874999999999,22.142011684429008,1.0,0.0,0.4988951519540288,0.4476923076923077,24.40911377952333,0.0,0.0,0.09533685946780057,-0.015504807692307832,-2.267102095094323
easy,wrong_initial,1.0,0.0,0.0834994508866231,0.5961111111111113,10.356381778662865,1.0,0.0,0.1712550578593665,0.6433333333333333,14.20621677858108,0.0,0.0,-0.08775560697274341,-0.047222222222222054,-3.8498349999182153
hard,frozen,1.0,0.0,0.001039009651828,0.4461904761904762,-6.800030895612167,1.0,0.0,0.0027555952697675,0.508095238095238,-9.948266163032194,0.0,0.0,-0.0017165856179395,-0.06190476190476185,3.148235267420027
hard,late_aggressive,1.0,0.0,0.0025140961752285,0.4413953488372092,-20.70154910234657,1.0,0.0,0.0071264931242267,0.5116279069767442,-13.580668299265326,0.0,0.0,-0.004612396948998201,-0.070232558139535,-7.120880803081242
hard,late_linear,1.0,0.0,0.0206087906646983,0.4594444444444444,0.3256214742339054,1.0,0.0,0.0305736005717256,0.5283333333333333,1.2641583088931014,0.0,0.0,-0.009964809907027299,-0.06888888888888894,-0.938536834659196
hard,wrong_initial,1.0,0.0,0.0014165809437025,0.4536842105263158,1.6600131701371694,1.0,0.0,0.0036419271159324,0.5105263157894737,1.4723394790648283,0.0,0.0,-0.0022253461722299,-0.056842105263157916,0.1876736910723411
medium,frozen,0.0,1.0,-0.2323302830854432,0.4185714285714286,-204.4759194881229,0.0,1.0,-0.1330385375255508,0.4985714285714285,-204.9327218317665,0.0,0.0,-0.0992917455598924,-0.0799999999999999,0.45680234364357375
medium,late_aggressive,0.0,1.0,-0.1438445218674545,0.4316666666666666,-205.70067418682012,0.0,1.0,-0.1276643770239578,0.4916666666666666,-206.20975637298736,0.0,0.0,-0.016180144843496697,-0.06,0.5090821861672339
medium,late_linear,0.0,1.0,-0.2307432308317712,0.4516666666666666,-204.44504834022172,0.0,1.0,-0.2129400798563276,0.5033333333333333,-204.9292261780488,0.0,0.0,-0.017803150975443605,-0.051666666666666694,0.484177837827076
medium,wrong_initial,1.0,0.0,0.0355869305724609,0.4670833333333333,11.064508495094316,1.0,0.0,0.0158683747008145,0.50875,13.419626606607636,0.0,0.0,0.0197185558716464,-0.04166666666666674,-2.3551181115133204
