collision,episode,episode_time,final_x,final_y,first_driver_reaction_time,first_motor_release_time,mean_lambda,mean_takeover,min_h,min_lambda,peak_driver_rwa,peak_driver_swa_cmd,return,rms_conflict,rms_rwa,steps,success
0.0,0.0,3.349999999999996,51.63696905139976,-0.7241992835748408,1.0000000000000002,0.9500000000000003,0.5411764705882354,0.4588235294117647,0.4751863916472292,0.2,0.31008781951743425,5.291958061777951,1.8376991165335141,0.18627070733732462,0.1078723437686796,68.0,1.0
0.0,1.0,1.6500000000000008,56.451444608693066,0.9326354405418833,0.25,0.2,0.4088235294117647,0.5911764705882353,0.36510204175139327,0.2,0.2761496848207429,4.48325945757124,23.150782750383748,0.2308570057684184,0.13084592354081348,34.0,1.0
0.0,2.0,2.9499999999999975,52.00622400841416,1.0410998735449792,1.6500000000000008,1.5500000000000007,0.533,0.46699999999999997,0.3105985976485539,0.18,0.31798422527332604,5.4519205068540195,16.19197480912529,0.17755306764523335,0.10665662084757699,60.0,1.0
0.0,3.0,2.549999999999999,49.85085178019796,1.7120494617551978,1.2000000000000004,1.1000000000000003,0.5023076923076923,0.49769230769230766,0.09077278113392562,0.16,0.32313999486225115,5.230887702222569,6.102169944927269,0.19880960229006236,0.11693945011810727,52.0,1.0
0.0,4.0,3.4999999999999956,59.478165924798795,0.9431772025025597,2.2,2.1500000000000004,0.5757746478873241,0.42422535211267604,0.4087676510930933,0.2,0.35,5.718130374778121,25.441065723709485,0.1660300441474946,0.08421198581792094,71.0,1.0
0.0,5.0,2.6999999999999984,53.94022884647959,-1.6872337408866884,1.4000000000000006,1.3500000000000005,0.5261818181818182,0.47381818181818186,0.38208334226035623,0.2,0.35,6.431382054332083,11.97575805386478,0.20701365419924153,0.10445290769707691,55.0,1.0
0.0,6.0,2.4499999999999993,51.453383604204916,-1.7402127262684601,1.1000000000000003,1.0500000000000003,0.5108,0.4892,0.2071013947550453,0.18,0.28260703552776734,4.872029805046797,4.803237639968593,0.17194163232323634,0.11316146863906933,50.0,1.0
0.0,7.0,2.549999999999999,50.96446684376445,-1.2022426469694822,1.5000000000000007,1.4500000000000006,0.5126923076923077,0.4873076923076924,0.00164778027987178,0.16,0.28209973139590455,6.0205838863961425,24.74297222394678,0.12702026564301355,0.10237200383652441,52.0,1.0
0.0,8.0,1.850000000000001,42.38559518796204,2.7709857791611814,1.0000000000000002,0.9500000000000003,0.48,0.52,0.008432738487536007,0.16,0.21517684609459448,5.368643683935198,-0.3005671957528051,0.17683374681926042,0.119522740256569,38.0,1.0
0.0,9.0,3.4999999999999956,58.168196313570895,-0.883101876642032,1.900000000000001,1.850000000000001,0.571830985915493,0.4281690140845071,0.5531915138288452,0.2,0.32006921460635546,5.47557708503788,20.405132467036253,0.15969451956348987,0.09221741976182324,71.0,1.0
0.0,10.0,2.6499999999999986,49.980683850631806,1.6889080459802672,1.2500000000000004,1.2000000000000004,0.5129629629629631,0.48703703703703705,0.3509744164667141,0.18,0.35,5.377394763570535,-5.514615037694917,0.22658392345276288,0.10965375225819399,54.0,1.0
1.0,11.0,1.2000000000000004,31.08155199172181,2.1518635505032178,1.1500000000000004,1.0500000000000003,0.544,0.45599999999999996,-0.019293390642412422,0.22,0.032716171397837245,0.9822169097857307,-214.67017153079755,0.0628194768865748,0.058719994477885396,25.0,0.0
1.0,12.0,0.7000000000000001,34.31146032634973,-1.6135293218367872,0.35,0.3,0.5093333333333334,0.4906666666666667,-0.015151737103993645,0.22,0.14902819280340737,2.5624246633973873,-207.83338578520224,0.12806370270319087,0.16931913287671374,15.0,0.0
1.0,13.0,0.35,33.43932894967122,0.4894432318055951,0.25,0.2,0.65,0.35,-0.3037069044811388,0.3,0.08037965103110097,3.025536275627773,-204.58722937991934,0.14708430503373868,0.11457449225110597,8.0,0.0
0.0,14.0,3.2499999999999964,56.221752892128656,-0.5744105181958198,2.5999999999999988,2.5999999999999988,0.5566666666666666,0.44333333333333336,0.12259919277843911,0.16,0.04949840905987297,0.8833341376270558,27.569162324175416,0.09654809758894942,0.09780440347429728,66.0,1.0
0.0,15.0,2.549999999999999,48.6415752040131,-1.369594341486061,1.0000000000000002,0.9500000000000003,0.5076923076923078,0.49230769230769234,0.5245328975612491,0.2,0.3477469529980494,6.024007975478552,11.41804668442515,0.1961057803250643,0.10806718330489652,52.0,1.0
1.0,16.0,0.39999999999999997,36.34844318032847,-0.5626302144256766,nan,nan,0.6022222222222222,0.3977777777777778,-0.017070000057236134,0.22,0.0,0.0929643606705203,-202.93550058435054,0.15685485151707754,0.15685485151707754,9.0,0.0
1.0,17.0,0.44999999999999996,29.913601073514535,0.36173326442798215,0.25,0.2,0.568,0.43199999999999994,-0.12817458395169257,0.2,0.11920893697036493,3.056054454651253,-203.44960263226804,0.20301044659052048,0.14968076041777578,10.0,0.0
