collision,episode,episode_time,final_x,final_y,first_driver_reaction_time,first_motor_release_time,mean_lambda,mean_takeover,min_h,min_lambda,peak_driver_rwa,peak_driver_sfa_cmd,return,rms_conflict,rms_rwa,steps,success
0.0,0.0,3.2999999999999963,51.01093365972177,-2.1894139755809,1.0000000000000002,0.9500000000000003,0.5388059701492538,0.46119402985074637,0.5758276250514276,0.4,0.3101859029786405,5.291958061777951,-13.406319769429857,0.19209028531062877,0.05704023027705927,67.0,1.0
1.0,1.0,0.9500000000000003,44.935661911029534,1.0456547851736326,0.25,0.2,0.9630000000000001,0.03700000000000003,-0.14584689438921972,0.96,0.15959381680485346,2.832809428149282,-204.33679960570214,0.007679299404888431,0.09751586171122485,20.0,0.0
0.0,2.0,2.9499999999999975,52.055664673092494,1.9397681307077308,1.6500000000000008,1.5500000000000007,0.5399999999999999,0.46,0.40698379194336365,0.16,0.31798305168737334,5.4519205068540195,4.074748327110441,0.19729539488469958,0.07282019454771663,60.0,1.0
0.0,3.0,2.549999999999999,49.8053353016788,3.630891074584037,1.2000000000000004,1.1000000000000003,0.6111538461538462,0.38884615384615373,0.13186920684432324,0.28,0.323147952374374,5.230887702222569,-18.863421047763836,0.17812019079858382,0.05450036090038902,52.0,1.0
0.0,4.0,3.4999999999999956,59.49055023970489,0.8498681864688057,2.2,2.1500000000000004,0.4332394366197183,0.5667605633802817,0.32769750436241707,0.04,0.35,5.718130374778121,22.498984273846958,0.1673664807287092,0.0695834386455398,71.0,1.0
0.0,5.0,2.6999999999999984,53.90521532679297,-3.4708805317153613,1.4000000000000006,1.3500000000000005,0.5974545454545456,0.40254545454545443,0.4758150710785878,0.46,0.35,6.431382054332083,-10.299322391598785,0.1593094205823768,0.04189777727391421,55.0,1.0
0.0,6.0,2.4499999999999993,51.34196339943788,-4.1043088443139,1.1000000000000003,1.0500000000000003,0.6504000000000001,0.3496,0.3241312043938842,0.54,0.2805277745349606,4.78968293023254,-27.9483621827725,0.11646060691205609,0.04384271380313868,50.0,1.0
0.0,7.0,2.549999999999999,50.90267653414799,-2.974925226796409,1.5000000000000007,1.4500000000000006,0.6353846153846155,0.3646153846153846,0.32871947187549266,0.52,0.35,6.0205838863961425,6.473809827100567,0.12932635416122412,0.04861893699675695,52.0,1.0
1.0,8.0,1.4000000000000006,32.08799948278146,1.8391375030080157,1.0000000000000002,0.9500000000000003,0.7924137931034482,0.20758620689655177,-0.14977857694992647,0.72,0.08309746469452686,1.3787269322208013,-209.45137458005865,0.06051152678974969,0.04303018960262758,29.0,0.0
0.0,9.0,3.4999999999999956,58.220831767730814,-0.8838512761246542,1.900000000000001,1.850000000000001,0.45802816901408444,0.5419718309859157,0.35077617781726333,0.26,0.3236064297030658,5.539953711061049,20.407852616372722,0.15571724476987614,0.07555854653568211,71.0,1.0
0.0,10.0,2.6499999999999986,50.030802215843075,3.3878333255373487,1.2500000000000004,1.2000000000000004,0.5974074074074074,0.40259259259259256,0.27591517656480957,0.26,0.35,5.377394763570535,-24.1839946779321,0.19267072839862964,0.045741310091966705,54.0,1.0
1.0,11.0,1.1500000000000004,29.846560443537186,1.45444209659719,1.1500000000000004,1.0500000000000003,0.8250000000000001,0.17499999999999996,-0.0931431080019145,0.76,0.019479668859213258,0.7699752625259115,-206.57192695567,0.04501020535915329,0.045695698198194634,24.0,0.0
1.0,12.0,0.65,33.369141840848215,-0.4357214851366597,0.35,0.3,0.9642857142857145,0.03571428571428575,-0.2943035830010635,0.96,0.14445576693320766,2.5497827811779645,-202.70498196314784,0.007432207648721101,0.07631684763101153,14.0,0.0
1.0,13.0,0.35,33.444954501483714,0.37437407577130954,0.25,0.2,1.0,0.0,-0.32170691343869506,1.0,0.08037965103110097,3.025536275627773,-203.27444285247887,0.0,0.03544409451640827,8.0,0.0
0.0,14.0,3.2499999999999964,56.23117570029861,-0.7652612661595937,2.5999999999999988,2.5999999999999988,0.51,0.48999999999999994,0.22818853158204377,0.34,0.04900201904702598,0.8730062676275826,25.56587359175036,0.0865814246003576,0.08708393923600684,66.0,1.0
0.0,15.0,2.549999999999999,48.37143199537402,-4.896400725687139,1.0000000000000002,0.9500000000000003,0.6573076923076926,0.34269230769230774,0.8143187001933805,0.56,0.34775163777313095,6.024007975478552,-50.64535752944369,0.11876550026744115,0.05417140628201065,52.0,1.0
1.0,16.0,0.39999999999999997,36.35721870309726,-0.38237482544221824,nan,nan,1.0,0.0,-0.05836011052037038,1.0,0.0,0.0929643606705203,-201.30031654068276,0.0,0.0,9.0,0.0
1.0,17.0,0.44999999999999996,29.93299837677661,0.05371295190150866,0.25,0.2,1.0,0.0,-0.16422200239204643,1.0,0.11920893697036493,3.056054454651253,-201.67495831489782,0.0,0.05591394766775976,10.0,0.0
