policy,difficulty,driver_profile,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
heuristic,easy,frozen,1.0,0.0,0.11427977047450222,0.46135593220338983,23.24122644908197
heuristic,easy,late_aggressive,1.0,0.0,0.6612694542093145,0.4544117647058824,3.2085405897460575
heuristic,easy,late_linear,1.0,0.0,0.5040294711896078,0.43876923076923074,24.335094811036406
heuristic,easy,wrong_initial,1.0,0.0,0.15713252492160112,0.6099999999999999,13.500867781608001
heuristic,hard,frozen,1.0,0.0,0.003425661642958433,0.5038095238095237,-8.409937685287375
heuristic,hard,late_aggressive,1.0,0.0,0.006551121348610911,0.5093023255813954,-11.034554950514242
heuristic,hard,late_linear,1.0,0.0,0.016352332111702506,0.5272222222222223,3.6661484677778304
heuristic,hard,wrong_initial,1.0,0.0,0.0019344775144241044,0.5021052631578948,5.214718773162367
heuristic,medium,frozen,0.0,1.0,-0.1558169446253379,0.4842857142857143,-204.91661183235058
heuristic,medium,late_aggressive,0.0,1.0,-0.1305060149174293,0.4733333333333334,-206.07316242304157
heuristic,medium,late_linear,0.0,1.0,-0.21937622083848995,0.47,-204.6217050880778
heuristic,medium,wrong_initial,1.0,0.0,0.03869261133188462,0.5108333333333334,13.983950100429983
